# https://data.ripple.com/ and whois results
# Ripple Nodes
IP Address|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Publice Key
1.235.32.93|rippled-1.8.1|9318|1.232.0.0/13|KR|apnic|2010-07-19|SKB-AS SK Broadband Co Ltd, KR|n9LjxZcaEpJZprfaBprRdvMNi6Xbdz2phadD7h9p4A48zy9Ff63i
1.255.51.125|rippled-1.7.0|23576|1.255.50.0/23|KR|apnic|2010-07-19|NHN-AS-KR NAVER Cloud Corp., KR|n9Kjf2Pbrbjo94jcFyxgYDKaGsKMjbXUuknvF9qa57fTpvc5RMCT
103.149.26.172|rippled-1.7.3|135377|103.149.26.0/24|HK|apnic|2020-03-04|UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK|n9Mh8VnkZLSC61u8bPYs3szzYumdN8o9p7uKMEn7zMXCsqYQgq72
103.71.158.176|rippled-1.7.3|133203|103.71.158.0/24|JP|apnic|2016-08-11|SBIBITS-JP SBI BITS Co., Ltd., JP|n9Jg2WTjV8fEL88TdYyeKTELd171RvdngZVecysEQj3d4X9JdFFk
106.243.121.208|rippled-1.8.1|3786|106.240.0.0/12|KR|apnic|2011-03-28|LGDACOM LG DACOM Corporation, KR|n9LdhMGojcsHLoKTG7jyZgcJgzv56pHKtEgC5ofxmadZoepz6ERV
106.75.92.58|rippled-1.0.0|4808|106.75.64.0/19|CN|apnic|2011-03-23|CHINA169-BJ China Unicom Beijing Province Network, CN|n9Jd7L8MeueznGZsVBr44MYAvD9eEvZNvCo7R4PcNQKS2AjajF3R
107.150.98.202|rippled-1.7.3|135377|107.150.96.0/21|US|arin|2013-12-10|UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED, HK|n9K1EzxSUWMc3bouVaP8vbYdrHhcvwGqB3zq6didZrtPAethw6Jy
107.152.32.81|rippled-1.7.3|11878|107.152.32.0/24|US|arin|2013-12-03|TZULO, US|n9Mz2GxrZLa5NWdCGDV2SNTrbeqM5byLXFawwLFV9tkGm145SNsx
109.169.87.221|rippled-1.7.3|20860|109.169.64.0/19|GB|ripencc|2009-11-02|IOMART-AS, GB|n9KRGC52Hy791Vsa1rzZPbSPPetMFwzMVFfv1t9H6oLdUVzmEykh
109.171.190.141|rippled-1.8.1|50999|109.171.128.0/18|SA|ripencc|2009-11-18|KAUST-AS1, SA|n9L7j8iV1b93dqo88YgF6qYTovkL7BbaweDhtMJ86nPGiFyNCgRs
110.10.124.153|rippled-1.8.1|9318|110.10.0.0/16|KR|apnic|2009-02-18|SKB-AS SK Broadband Co Ltd, KR|n94QjPDF5GFheC43Uj6FZvfxDKiJs4QNAnGFZViGJiEpnp34Pa7c
110.10.124.154|rippled-1.8.1|9318|110.10.0.0/16|KR|apnic|2009-02-18|SKB-AS SK Broadband Co Ltd, KR|n9JyxbFEPNeFPJNTuujwgQgSCfYNhN6AXmtmgwrzbDMg9NzRHZjT
114.203.209.151|rippled-1.7.3|9318|114.200.0.0/13|KR|apnic|2008-06-18|SKB-AS SK Broadband Co Ltd, KR|n9KYSbj4CoNaWVn1xFY7FSgboZ1iRgzsSAqzNy6mQntb7hEB6Xkb
115.68.52.217|rippled-1.7.3|38700|115.68.0.0/17|KR|apnic|2008-07-15|SMILESERV-AS-KR SMILESERV, KR|n9ML9Hcrf8yJ332RDGFTWKdeqhGbtM5eibHy9PmEkASnrgf6JbC7
116.202.113.53|rippled-1.7.3|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9LmMJ6wTCKn7duPrMDHqSaLnzFtkN8U9BSsinNEyajGQ4pcP1YX
116.202.131.37|rippled-1.7.3|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9MfCK1VaBEGx4S5S7ErXzrLG5Rw5hnk39ZBQBvwbN4hLDiwxYDy
116.202.148.26|rippled-1.8.1|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9LtKvXynrK4j676QrYoSYVmBVrVvth9RLFdqnxyeAz6kwtKqCEE
116.202.163.130|rippled-1.8.1|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9KWZN68mCDgKsnY3GZdankL3YLn1F8BJNAvHvsfXJHeiTfCdDg7
116.202.237.229|rippled-1.6.0|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9M1YgEnhysyBU1WBxobdZGaLwHDrsUsfyDKDfLYEMRMaqG2biFr
116.203.121.235|rippled-1.7.3|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|n9KZjS6Zdh6zw6p2skmZQcsXNqaphst9xYBmLL3adkrPgX27Rkgw
